OOIBARCODE,Int_Asset,DESCRIPTION ,Type,serial_number,Date,Comments
N00243,CP03ISSM-00003,,Mooring,CP03ISSM-00003,10/21/2015,
N00757,,METBK-Log S/N,Sensor,LGR023,,
N00757,,METBK-BPR S/N,Sensor,,,
N00757,,METBK-CT S/N,Sensor,,,
N00757,,METBK-HRH S/N,Sensor,,,
N00757,,METBK-LWR S/N,Sensor,,,
N00757,,METBK-PRC S/N,Sensor,,,
N00757,,METBK-SWR S/N,Sensor,,,
N00757,,METBK-WND S/N,Sensor,,,
,,METBK-Log S/N,,N/A,,
,,METBK-BPR S/N,,N/A,,
,,METBK-CT S/N,,N/A,,
,,METBK-HRH S/N,,N/A,,
,,METBK-LWR S/N,,N/A,,
,,METBK-PRC S/N,,N/A,,
,,METBK-SWR S/N,,N/A,,
,,METBK-WND S/N,,N/A,,
N00552,,PCO2A S/N,Sensor,34-261-50A,,
,,VELPT S/N,,N/A,,
,,WAVSS S/N,,N/A,,
,,MOPAK S/N,,,,
,,ADCP S/N,,N/A,,
A01334,,CTDBP S/N,Sensor,16-50109,,
N00550,,DOSTA S/N,Sensor,508,,
A01654,,FLORT S/N,Sensor,1324,,
A01638,,NUTNR S/N,Sensor,283,,
,,NUTNR Batt S/N,,,,
A00098,,OPTAA S/N,Sensor,ACS-123,,
,,PCO2W S/N,,N/A,,
,,PHSEN S/N,,N/A,,
A01532,,SPKIR S/N,Sensor,290,,
N00551,,VELPT S/N,Sensor,AQD 12747,,
A00767,,MFN AcousticRelease S/N,,,,
A00770,,MFN AcousticRelease S/N,,,,
,,ARM AcousticRelease S/N,,,,
A00494,,ADCP S/N,Sensor,20530,,
,,CAMDS S/N,,N/A,,
A01335,,CTDBP S/N,Sensor,16-50110,,
N00549,,DOSTA S/N,Sensor,507,,
A01717,,OPTAA S/N,Sensor,ACS-257,,
A00386,,PCO2W S/N,Sensor,C0069,,
A01342,,PHSEN S/N,Sensor,P0157,,
A00165,,PRESF S/N,Sensor,26P71826-1352,,
A01072,,VELPT S/N,Sensor,AQD 12230,,
,,VEL3D S/N,,N/A,,
A01768,,ZPLSC S/N,Sensor,55100,,
