OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments
OL000063,GS01SUMO-00002,,Mooring,GS01SUMO-00002,12/4/2015,
OL000066,,MOPAK,,6223-4220-42297,,
OL000064,,HYDGN,,M2A541867,,
OL000065,,HYDGN,,M2A542356,,
OL000067,,METBK,,LGR022,,
OL000068,,METBK,,LGR026,,
OL000069,,DOSTAD,,495,,
A00400,,DOSTAD,,227,,
A00168,,DOSTAD,,132,,
A00863,,DOSTAD,,377,,
OL000070,,DOSTAD,,497,,
OL000071,,SPKIR,,300,,
OL000072,,SPKIR,,302,,
A01495,,NUTNR,,277,,
A00066,,NUTNR,,240,,
A00050,,PC02,,31-124-50A,,
A00080,,WAVSS,,TAS04571,,
OL000073,,FDCHP,,144901,,
A01616,,OPTAA,,254,,
A01636,,OPTAA,,255,,
A01632,,FLORTD,,1319,,
A01633,,FLORTD,,1320,,
A01536,,CTDBPF,,16-50142,,
A01069,,VELPT,,AQD12231,,
A01228,,PCO2,,C0113,,
A01539,,CTDMO,,37-13558,,
A01574,,CTDMO,,37-13559,,
A01540,,CTDMO,,37-13562,,
A01541,,CTDMO,,37-13576,,
A01575,,CTDMO,,37-13577,,
A01542,,CTDMO,,37-13587,,
A01543,,CTDMO,,37-13588,,
A00642,,CTDMO,,37-11486,,
A01544,,CTDMO,,37-13628,,
A01582,,CTDMO,,37-13654,,
A01736,,PHSEN,,P0176,,
A01737,,PHSEN,,P0177,,
A01138,,CTDBP,,16-50077,,
A01417,,CTDBP,,16-50124,,
A01418,,CTDBP,,16-50125,,
A01437,,FLORD,,3965,,
A01438,,FLORD,,3966,,
A01475,,FLORD,,3968,,
A01764,,PCO2,,C0128,,
A01765,,PCO2,,C0129,,
OL000074,,PCO3,,C0130,,
A01535,,ADCP,,23580,,
OL000075,,CPM,,GS01SUMO-00001-CPM1,,
OL000076,,CPM,,GS01SUMO-00001-CPM2,,
OL000077,,DCL,,GS01SUMO-00001-DCL11,,
OL000078,,DCL,,GS01SUMO-00001-DCL12,,
OL000079,,DCL,,GS01SUMO-00001-DCL16,,
