OOIBARCODE,Int_Asset,"DESCRIPTION",Type,serial_number,Date,comments
,,,,,,
A01774,CP05MOAS-GL335,,Platform,335,2014/10/06,
N00728,,"ADCP S/N",Sensor,643111,,
N00729,,"FLORT S/N",Sensor,2809,,
N00730,,"CTDGV S/N",Sensor,9029,,
N00731,,"DOSTA S/N",Sensor,105,,
N00732,,"PARAD S/N",Sensor,50151,,
,,,,,,
A00181,CP05MOAS-GL336,,Platform,336,2015/01/11,
N00015,,"ADCP S/N",Sensor,643106,,
N00016,,"FLORT S/N",Sensor,2858,,
N00017,,"CTDGV S/N",Sensor,9030,,
N00018,,"DOSTA S/N",Sensor,117,,
N00019,,"PARAD S/N",Sensor,50152,,
,,,,,,
A00257,CP05MOAS-GL339,,Platform,339,2015/01/11,
N00131,,"ADCP S/N",Sensor,62598,,
N00132,,"FLORT S/N",Sensor,2812,,
N00133,,"CTDGV S/N",Sensor,9036,,
N00134,,"DOSTA S/N",Sensor,142,,
N00135,,"PARAD S/N",Sensor,50153,,
,,,,,,
A00284,CP05MOAS-GL340,,Platform,340,2014/10/06,
N00031,,"ADCP S/N",Sensor,648875,,
N00032,,"FLORT S/N",Sensor,2813,,
N00033,,"CTDGV S/N",Sensor,9037,,
N00034,,"DOSTA S/N",Sensor,123,,
N00035,,"PARAD S/N",Sensor,50154,,
,,,,,,
A00334,CP05MOAS-GL374,,Platform,374,2014/04/23,
N00117,,"ADCP S/N",Sensor,648877,,
N00118,,"FLORT S/N",Sensor,2819,,
N00119,,"CTDGV S/N",Sensor,9083,,
N00726,,"DOSTA S/N",Sensor,145,,
N00727,,"PARAD S/N",Sensor,50157,,
,,,,,,
A00336,CP05MOAS-GL375,,Platform,375,2015/01/11,
N00146,,"ADCP S/N",Sensor,649015,,
N00147,,"FLORT S/N",Sensor,2817,,
N00148,,"CTDGV S/N",Sensor,9081,,
N00149,,"DOSTA S/N",Sensor,171,,
N00150,,"PARAD S/N",Sensor,50155,,
,,,,,,
A00335,CP05MOAS-GL376,,Platform,376,2014/10/06,
N00141,,"ADCP S/N",Sensor,649016,,
N00142,,"FLORT S/N",Sensor,2818,,
N00143,,"CTDGV S/N",Sensor,9082,,
N00144,,"DOSTA S/N",Sensor,170,,
N00145,,"PARAD S/N",Sensor,50156,,
,,,,,,
A00367,CP05MOAS-GL379,,Platform,379,2014/04/21,
N00043,,"ADCP S/N",Sensor,649982,,
N00044,,"FLORT S/N",Sensor,3116,,
N00045,,"CTDGV S/N",Sensor,9057,,
N00046,,"DOSTA S/N",Sensor,178,,
N00047,,"PARAD S/N",Sensor,50158,,
,,,,,,
A00368,CP05MOAS-GL380,,Platform,380,2014/10/07,
N00151,,"ADCP S/N",Sensor,649696,,
N00152,,"FLORT S/N",Sensor,3130,,
N00153,,"CTDGV S/N",Sensor,9055,,
N00154,,"DOSTA S/N",Sensor,189,,
N00155,,"PARAD S/N",Sensor,50159,,
,,,,,,
A00585,CP05MOAS-GL387,,Platform,387,2014/04/23,
N00136,,"ADCP S/N",Sensor,654587,,
N00137,,"FLORT S/N",Sensor,3190,,
N00138,,"CTDGV S/N",Sensor,9087,,
N00139,,"DOSTA S/N",Sensor,173,,
N00140,,"PARAD S/N",Sensor,50165,,
,,,,,,
A00583,CP05MOAS-GL388,,Platform,388,2014/10/05,
N00156,,"ADCP S/N",Sensor,654584,,
N00157,,"FLORT S/N",Sensor,3206,,
N00158,,"CTDGV S/N",Sensor,9088,,
N00159,,"DOSTA S/N",Sensor,192,,
N00160,,"PARAD S/N",Sensor,50166,,
,,,,,,
A00584,CP05MOAS-GL389,,Platform,389,2015/01/11,
N00161,,"ADCP S/N",Sensor,654585,2015/01/11,
N00162,,"FLORT S/N",Sensor,3207,2015/01/11,
N00163,,"CTDGV S/N",Sensor,9089,2015/01/11,
N00164,,"DOSTA S/N",Sensor,193,2015/01/11,
N00165,,"PARAD S/N",Sensor,50167,2015/01/11,
