OOIBARCODE,Int_Asset,DESCRIPTION,Type,serial_number,Date,comments,
N00254,GP03FLMB-00002,,Mooring,GP03FLMB-00002,6/20/2014,,
,,GPS S/N,,3.00E+14,,,
,,XEOS S/N,,320,,,
,,Flasher S/N,,595,,,
OL000102,,Controller S/N,,GP03FLMB-00002-FMM01,,,
A00413,,DOSTA S/N,Sensor,224,,,
A00467,,FLORT S/N,Sensor,1124,,,
A01501,,PHSEN S/N,Sensor,P0102,,,
,,CTDMO S/N,Sensor,,,,
,,GPS S/N,,3.00E+14,,,
,,XEOS S/N,,321,,,
,,Flasher S/N,,594,,,
OL000103,,Controller S/N,,GP03FLMB-00002-FMS01,,,
,,ACOMM S/N,,64770 / 42,,,
A00570,,ADCP S/N,Sensor,20504,,,
A01398,,CTDMO S/N,Sensor,37-11646,,,
,,Battery Pack S/N,,1400021,,,
,,Battery Pack S/N,,1400022,,,
A01406,,CTDMO S/N,Sensor,37-11654,,,
A01405,,CTDMO S/N,Sensor,37-11653,,,
A01393,,CTDMO S/N,Sensor,37-11641,,,
A01402,,CTDMO S/N,Sensor,37-11650,,,
A01390,,CTDMO S/N,Sensor,37-11638,,,
A01392,,CTDMO S/N,Sensor,37-11640,,,
A01391,,CTDMO S/N,Sensor,37-11639,,,
A00112,,CTDMO S/N,Sensor,37-10223,,,
A00135,,CTDMO S/N,Sensor,37-10228,,,
A01407,,CTDMO S/N,Sensor,37-11680,,,
A01411,,CTDMO S/N,Sensor,37-11703,,,
,,AcousticRelease S/N,,,,,
,,AcousticRelease S/N,,,,,
,,AcousticRelease S/N,,,,,
